#
# AUTOMATICALLY GENERATED FILE, DO NOT EDIT!
#
# This file is automatically generated from the beyond-all-reason/maps-metadata repository and any
# changes here will be overridden by the next update. If you want to make any changes please follow
# https://github.com/beyond-all-reason/maps-metadata/wiki/Adding-a-created-map-to-the-game
#
################################################################################
#
# Input field description:
# ------------------------
#
# mapName: name of the map with smf extension (string)
# nbTeams: number of teams
#
# Output fields description:
# --------------------------
#
# boxes: Split description (string)
#   h <size> -> split horizontally (boxes height=<size>)
#   v <size> -> split vertically (boxes width=<size>)
#   c1 <size> -> split on top left and bottom right corners (boxes sides=<size>)
#   c2 <size> -> split on top right and bottom left corners (boxes sides=<size>)
#   c <size> -> split on corners (boxes sides=<size>)
#   s <size> -> split on sides (boxes sides=<size>)
#   <addboxes parameters sets> -> refer to "addbox" command help
#     (example: "0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50")
#
################################################################################
#
#?mapName:nbTeams|boxes
AcidicQuarry 5.17.smf:2|15 15 60 185;140 15 185 185
AcidicQuarry 5.17.smf:3|15 140 60 185;140 15 185 60;140 140 185 185
AcidicQuarry 5.17.smf:4|15 15 60 60;140 140 185 185;15 140 60 185;140 15 185 60
Adamantium_Factory_V1.smf:2|0 0 52 200;148 0 200 200
Adamantium_Factory_V1.smf:4|0 0 77 74;125 126 200 200;0 127 75 199;127 1 200 77
Aethermoor Creek 1.0.smf:2|0 0 40 200;160 0 200 200
All That Glitters Extended v1.0.smf:2|0 0 200 40;0 160 200 200
All That Glitters v2.2.2.smf:2|0 0 200 40;0 160 200 200
All That Simmers v1.1.1.smf:2|0 0 200 40;0 160 200 200
All That Smolders v1.2.smf:2|0 0 200 44;0 156 200 200
Altair_Crossing_V4.1.smf:2|0 0 40 200;160 0 200 200
Altair_Crossing_V4.1.smf:4|71 0 125 29;66 171 120 200;0 74 41 117;159 77 200 120
Altored Divide Bar Remake 1.6.2.smf:2|0 0 200 40;0 160 200 200
Ancient Bastion Remake 0.5.smf:2|0 0 60 200;140 0 200 200
Ancient Vault v1.4.smf:2|0 0 50 200;150 0 200 200
Angel Crossing 1.5.1.smf:2|0 0 200 40;0 160 200 200
Archsimkats_Valley_V1.smf:2|0 0 40 200;160 0 200 200
Ascendancy v2.2.smf:2|0 0 40 200;160 0 200 200
Asteroid_Mines_V3.smf:2|29 34 167 73;29 126 167 165
Asteroid_Mines_V3.smf:3|29 29 76 76;122 122 168 170;29 123 76 170
